Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel
137,0,0,0,0,0,0,1,0,0,0,0,0,0
163,0,0,0,0,0,0,1,0,0,0,0,0,0
2368,0.01029929,1.152396,0.03101783,0.03202476,-0.01894503,0.01774557,0.99915,0,0,0,0,0,0
2408,0.01072542,1.150896,0.03449702,0.04094141,-0.02102664,0.01596524,0.9988127,0,0,0,0,0,0
2424,0.01157381,1.147653,0.03811901,0.05386859,-0.02241085,0.01352018,0.9982049,0,0,0,0,0,0
2450,0.01169929,1.147954,0.03918566,0.05468819,-0.02341689,0.01313113,0.9981425,0,0,0,0,0,0
2472,0.01156386,1.147989,0.04026577,0.05331473,-0.02491923,0.01269024,0.9981861,0,0,0,0,0,0
2485,0.01160567,1.147872,0.04048355,0.05304637,-0.02600076,0.01263473,0.9981735,0,0,0,0,0,0
2508,0.01152249,1.147678,0.04008553,0.05342003,-0.02583826,0.01278953,0.9981559,0,0,0,0,0,0
2524,0.01149786,1.147239,0.04071182,0.05517013,-0.02624037,0.01209639,0.9980588,0,0,0,0,0,0
2535,0.01127819,1.147191,0.04064514,0.05535515,-0.02517583,0.01124166,0.998086,0,0,0,0,0,0
2553,0.01109703,1.146541,0.04098908,0.05751026,-0.0240158,0.0105236,0.9980006,0,0,0,0,0,0
2567,0.01081999,1.145923,0.04106081,0.05874031,-0.02247548,0.01011335,0.997969,0,0,0,0,0,0
2581,0.01042498,1.145816,0.04085039,0.06058857,-0.02115356,0.009210595,0.9978961,0,0,0,0,0,0
2611,0.00998348,1.145631,0.04064504,0.06218725,-0.02000934,0.009888624,0.9978149,0,0,0,0,0,0
2626,0.009634168,1.145161,0.03994111,0.06325204,-0.01973883,0.01184714,0.997732,0,0,0,0,0,0
2639,0.00879534,1.144484,0.03918399,0.06563286,-0.01844578,0.01119304,0.9976106,0,0,0,0,0,0
2655,0.008415751,1.144458,0.03860899,0.06712981,-0.01764925,0.01034355,0.9975345,0,0,0,0,0,0
2669,0.008104947,1.144459,0.03798242,0.0682429,-0.01636076,0.01045808,0.9974797,0,0,0,0,0,0
2683,0.007843848,1.144476,0.03737694,0.06960578,-0.01504133,0.01158015,0.997394,0,0,0,0,0,0
2696,0.007571648,1.144396,0.03660491,0.07046338,-0.01365993,0.01246903,0.9973429,0,0,0,0,0,0
2720,0.007212304,1.144261,0.03577542,0.07114711,-0.01252314,0.01230545,0.9973113,0,0,0,0,0,0
2739,0.007116895,1.144303,0.03488708,0.07224277,-0.01174407,0.01272873,0.9972367,0,0,0,0,0,0
2754,0.006948762,1.144393,0.0332578,0.07446885,-0.009645844,0.01398139,0.9970787,0,0,0,0,0,0
2768,0.006927252,1.144509,0.03282075,0.07476365,-0.007763458,0.01467052,0.9970632,0,0,0,0,0,0
2781,0.007082511,1.144325,0.0324648,0.0736343,-0.006244906,0.01475456,0.9971566,0,0,0,0,0,0
2795,0.007297873,1.143974,0.03208862,0.07284177,-0.004243459,0.01509157,0.9972203,0,0,0,0,0,0
2809,0.007688075,1.143877,0.03131225,0.07355175,-0.002407702,0.01529575,0.9971713,0,0,0,0,0,0
2823,0.00800195,1.143755,0.03068958,0.07549413,-0.0002359785,0.01565599,0.9970233,0,0,0,0,0,0
2836,0.008293893,1.143721,0.03016798,0.07660431,0.002290634,0.01549973,0.9969385,0,0,0,0,0,0
2850,0.008516696,1.144369,0.02974233,0.07799961,0.004683369,0.01491547,0.9968308,0,0,0,0,0,0
2864,0.008779321,1.144778,0.02969551,0.07635449,0.006788539,0.01517062,0.9969422,0,0,0,0,0,0
2878,0.009132106,1.144957,0.02965594,0.07318395,0.008316943,0.0156619,0.9971608,0,0,0,0,0,0
2892,0.009456232,1.145346,0.02932808,0.07112069,0.009440041,0.01599151,0.9972948,0,0,0,0,0,0
2906,0.00981123,1.145676,0.02902819,0.06965018,0.0100101,0.01674653,0.9973807,0,0,0,0,0,0
2919,0.01030665,1.145739,0.02866223,0.06866284,0.01050877,0.0175065,0.997431,0,0,0,0,0,0
2934,0.01063795,1.145501,0.02838245,0.06760637,0.01171287,0.0173699,0.9974921,0,0,0,0,0,0
2948,0.01091097,1.145455,0.02804948,0.06817574,0.01333535,0.01623389,0.9974521,0,0,0,0,0,0
2963,0.01128137,1.14527,0.02770677,0.06905849,0.01510053,0.01503477,0.997385,0,0,0,0,0,0
2974,0.01154014,1.144994,0.02741373,0.06993313,0.01702214,0.01426334,0.9973045,0,0,0,0,0,0
2988,0.01194578,1.144615,0.02694819,0.07067161,0.01851864,0.01427354,0.9972256,0,0,0,0,0,0
3002,0.01279342,1.144263,0.02624806,0.0714371,0.01985638,0.01507223,0.9971336,0,0,0,0,0,0
3015,0.01406538,1.144011,0.02557526,0.07304531,0.02214864,0.01713703,0.9969354,0,0,0,0,0,0
3029,0.0155359,1.143839,0.02495115,0.07515346,0.02543211,0.02028496,0.9966412,0,0,0,0,0,0
3044,0.0168767,1.144053,0.02468299,0.07745922,0.02944448,0.02283975,0.9962989,0,0,0,0,0,0
3057,0.01790264,1.14439,0.02461787,0.07762855,0.03247019,0.02303195,0.9961873,0,0,0,0,0,0
3071,0.01861214,1.144498,0.02436991,0.07530568,0.03416333,0.02107225,0.9963523,0,0,0,0,0,0
3086,0.01913,1.143972,0.02404322,0.07289238,0.03495486,0.01742175,0.9965748,0,0,0,0,0,0
3099,0.01949273,1.143941,0.02315242,0.07463352,0.03530887,0.01351982,0.996494,0,0,0,0,0,0
3114,0.0198501,1.143931,0.02247419,0.07746324,0.03514009,0.01079643,0.9963173,0,0,0,0,0,0
3128,0.02012032,1.14403,0.02192301,0.07933381,0.0344505,0.01057881,0.9961965,0,0,0,0,0,0
3142,0.02027166,1.144133,0.02155265,0.07949895,0.03322674,0.01225627,0.9962056,0,0,0,0,0,0
3156,0.02050626,1.144128,0.02107427,0.07851768,0.03167764,0.0137486,0.9963145,0,0,0,0,0,0
